ts,open,high,low,close,n_obs,source,quality,xcheck_spread_bps,xcheck_sources
2021-01-25 00:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 01:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 02:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 03:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 04:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 05:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 06:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 07:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 08:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 09:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 10:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 11:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 12:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 13:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 14:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 15:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 16:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 17:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 18:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 19:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 20:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 21:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 22:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-25 23:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,,0.0
2021-01-26 00:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 01:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 02:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
