ts,open,high,low,close,n_obs,source,quality,xcheck_spread_bps,xcheck_sources
2023-03-01 00:00:00+00:00,0.99963,0.99963,0.99901,0.99901,1,bitstamp,fallback,9.900000000000464,2
2023-03-01 01:00:00+00:00,0.99963,1.00269,0.99836,1.00037,1,bitstamp,fallback,4.699999999999704,2
2023-03-01 02:00:00+00:00,1.00017,1.0004,1.00002,1.00002,1,bitstamp,fallback,1.1999999999989797,2
2023-03-01 03:00:00+00:00,0.99999,0.99999,0.99999,0.99999,1,bitstamp,fallback,0.900000000000345,2
2023-03-01 04:00:00+00:00,0.9999,0.9999,0.9999,0.9999,1,bitstamp,fallback,0.0,2
2023-03-01 05:00:00+00:00,0.9999,0.9999,0.9999,0.9999,1,chainlink,measured,0.9999999999998899,2
2023-03-01 06:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,0.2999999999997449,2
2023-03-01 07:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,0.2999999999997449,2
2023-03-01 08:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,0.9999999999998899,2
2023-03-01 09:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,2.4999999999997247,2
2023-03-01 10:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,20.999999999999908,2
2023-03-01 11:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,4.699999999999704,2
2023-03-01 12:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,0.9999999999998899,2
2023-03-01 13:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,3.6999999999998145,2
2023-03-01 14:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,1.1999999999989797,2
2023-03-01 15:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,5.3000000000003045,2
2023-03-01 16:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,3.4999999999996145,2
2023-03-01 17:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,0.9999999999998899,2
2023-03-01 18:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,0.9999999999998899,2
2023-03-01 19:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,0.900000000000345,2
2023-03-01 20:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,1.80000000000069,2
2023-03-01 21:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,2.8999999999990145,2
2023-03-01 22:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,1.7000000000000348,2
2023-03-01 23:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,1.7000000000000348,2
2023-03-02 00:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,1.7000000000000348,2
2023-03-02 01:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,1.7000000000000348,2
2023-03-02 02:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,1.2999999999996348,2
2023-03-02 03:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,3.6000000000002697,2
2023-03-02 04:00:00+00:00,0.9999,0.9999,0.9999,0.9999,0,chainlink,measured,3.6000000000002697,2
2023-03-02 05:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,1,chainlink,measured,4.318699999998898,2
2023-03-02 06:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,0.4813000000003509,2
2023-03-02 07:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,4.318699999998898,2
2023-03-02 08:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,4.0186999999991535,2
2023-03-02 09:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,1.781300000001096,2
2023-03-02 10:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,1.781300000001096,2
2023-03-02 11:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,2.3186999999991187,2
2023-03-02 12:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,1.181300000001606,2
2023-03-02 13:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,0.6813000000005509,2
2023-03-02 14:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,0.6813000000005509,2
2023-03-02 15:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,5.218699999999243,2
2023-03-02 16:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,0.581300000001006,2
2023-03-02 17:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,0.381300000000806,2
2023-03-02 18:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,0.6813000000005509,2
2023-03-02 19:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,1.181300000001606,2
2023-03-02 20:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,1.081300000000951,2
2023-03-02 21:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,1.6813000000004408,2
2023-03-02 22:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,3.6813000000002205,2
2023-03-02 23:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,4.481300000001021,2
2023-03-03 00:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,0.6813000000005509,2
2023-03-03 01:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,2.3813000000005857,2
2023-03-03 02:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,0.9813000000002958,2
2023-03-03 03:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,0.381300000000806,2
2023-03-03 04:00:00+00:00,0.99993187,0.99993187,0.99993187,0.99993187,0,chainlink,measured,0.381300000000806,2
2023-03-03 05:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,1,chainlink,measured,3.017399999999393,2
2023-03-03 06:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,2.617400000000103,2
2023-03-03 07:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,3.7173999999995377,2
2023-03-03 08:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,2.817400000000303,2
2023-03-03 09:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,2.817400000000303,2
2023-03-03 10:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,2.817400000000303,2
2023-03-03 11:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,6.717399999999207,2
2023-03-03 12:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,2.817400000000303,2
2023-03-03 13:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,1.8174000000004131,2
2023-03-03 14:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,4.282599999999581,2
2023-03-03 15:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,4.317400000001248,2
2023-03-03 16:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,1.8174000000004131,2
2023-03-03 17:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,2.817400000000303,2
2023-03-03 18:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,2.817400000000303,2
2023-03-03 19:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,3.417399999999793,2
2023-03-03 20:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,5.217400000000483,2
2023-03-03 21:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,3.517400000000448,2
2023-03-03 22:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,3.517400000000448,2
2023-03-03 23:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,2.817400000000303,2
2023-03-04 00:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,4.017399999999283,2
2023-03-04 01:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,9.317400000000697,2
2023-03-04 02:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,2.917400000000958,2
2023-03-04 03:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,5.117399999999828,2
2023-03-04 04:00:00+00:00,0.99971826,0.99971826,0.99971826,0.99971826,0,chainlink,measured,5.817399999999973,2
2023-03-04 05:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,1,chainlink,measured,0.977899999999865,2
2023-03-04 06:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,0.7221000000001698,2
2023-03-04 07:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,0.7221000000001698,2
2023-03-04 08:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,0.977899999999865,2
2023-03-04 09:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,0.022100000000024878,2
2023-03-04 10:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,0.977899999999865,2
2023-03-04 11:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,0.12210000000068,2
2023-03-04 12:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,0.022100000000024878,2
2023-03-04 13:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,0.022100000000024878,2
2023-03-04 14:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,0.977899999999865,2
2023-03-04 15:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,1.27789999999961,2
2023-03-04 16:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,3.4778999999995897,2
2023-03-04 17:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,1.577900000000465,2
2023-03-04 18:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,0.3220999999997698,2
2023-03-04 19:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,0.977899999999865,2
2023-03-04 20:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,0.22209999999911467,2
2023-03-04 21:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,0.977899999999865,2
2023-03-04 22:00:00+00:00,0.99999779,0.99999779,0.99999779,0.99999779,0,chainlink,measured,4.022099999999584,2
