ts,open,high,low,close,n_obs,source,quality,xcheck_spread_bps,xcheck_sources
2021-01-25 00:00:00+00:00,0.99941,1.00008,0.999,1.00008,1,bitstamp,fallback,0.0,1
2021-01-26 00:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,0.0,1
2021-01-27 00:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,0.0,1
2021-01-28 00:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,0.0,1
2021-01-29 00:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,0.0,1
2021-01-30 00:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,0.0,1
2021-01-31 00:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,0.0,1
2021-02-01 00:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,0.0,1
2021-02-02 00:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,0.0,1
2021-02-03 00:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,0.0,1
2021-02-04 00:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,0.0,1
2021-02-05 00:00:00+00:00,1.0,1.0005,0.99897,1.00048,1,bitstamp,fallback,0.0,1
2021-02-06 00:00:00+00:00,1.00002,1.00098,0.9995,1.00047,1,bitstamp,fallback,0.0,1
2021-02-07 00:00:00+00:00,0.99985,1.00255,0.99983,1.00043,1,bitstamp,fallback,0.0,1
2021-02-08 00:00:00+00:00,1.00065,1.00127,0.99988,1.00014,1,bitstamp,fallback,0.0,1
2021-02-09 00:00:00+00:00,1.00072,1.019,1.0,1.00012,1,bitstamp,fallback,0.0,1
2021-02-10 00:00:00+00:00,1.00012,1.00104,0.9999,1.00098,1,bitstamp,fallback,0.0,1
2021-02-11 00:00:00+00:00,1.00098,1.009,1.0,1.00001,1,bitstamp,fallback,0.0,1
2021-02-12 00:00:00+00:00,1.00005,1.00005,0.99975,1.00002,1,bitstamp,fallback,0.0,1
2021-02-13 00:00:00+00:00,1.00002,1.00005,0.997,0.99962,1,bitstamp,fallback,0.0,1
2021-02-14 00:00:00+00:00,0.99994,1.00005,0.99897,1.0,1,bitstamp,fallback,0.0,1
2021-02-15 00:00:00+00:00,1.0,1.00005,0.9998,0.99994,1,bitstamp,fallback,0.0,1
2021-02-16 00:00:00+00:00,0.99994,1.00005,0.99901,0.9999,1,bitstamp,fallback,0.0,1
2021-02-17 00:00:00+00:00,0.999975,1.0,0.999975,1.0,2,chainlink,measured,0.40000000000040004,1
2021-02-18 00:00:00+00:00,0.99990238,0.99990238,0.99990238,0.99990238,1,chainlink,measured,0.8762000000006598,1
2021-02-19 00:00:00+00:00,1.0,1.00020696,1.0,1.00012929,4,chainlink,measured,7.107099999998923,1
2021-02-20 00:00:00+00:00,1.00000877,1.00005,1.00000877,1.00005,2,chainlink,measured,1.100000000000545,1
2021-02-21 00:00:00+00:00,1.00005,1.00005,0.99991358,0.99991358,2,chainlink,measured,9.264199999999834,1
2021-02-22 00:00:00+00:00,1.00005,1.0002,1.00005,1.0002,2,chainlink,measured,1.7000000000000348,1
2021-02-23 00:00:00+00:00,1.00261988,1.00261988,0.99985522,0.99985522,3,chainlink,measured,1.447799999999555,1
