=== OBSERWATOR v3 START 13:45:16 — bieg 500 req/s ===
konto AWS: 750702271865
UTC      | PRICES quota  exc  p50  p95  q/1m   | SBEw p50   p95   q/1m  | load1 | 5XX  4XX 
11:45:17 | 0/inf         0    nan  nan  0      | e0   2     110   259   | 6.2   | 0    0   
11:45:49 | 10/inf        0    9    11   10     | e0   2     123   238   | 5.3   | 0    0   
11:46:21 | 40/inf        0    10   25   40     | e0   3     124   281   | 5.7   | 0    0   
11:46:53 | 59/inf        0    10   26   38     | e0   2     125   275   | 4.7   | 0    0   
11:47:25 | 76/inf        0    74   91   23     | e0   2     125   252   | 3.4   | 0    0   
11:47:57 | 2058/inf      0    9    11   1593   | e0   2     115   256   | 3.4   | 0    0   
11:48:29 | 4487/inf      0    8    11   4226   | e0   2     106   273   | 5.6   | 0    0   
11:49:01 | 12527/inf     0    7    10   9821   | e0   2     127   279   | 5.7   | 0    0   
11:49:32 | 23104/inf     0    6    9    16989  | e0   2     118   279   | 6.9   | 0    0   
11:50:04 | 38933/inf     0    6    46   23726  | e0   2     121   254   | 12.5  | 0    0   
11:50:36 | 54828/inf     0    6    45   28595  | e0   2     121   256   | 11.8  | 0    0   
11:51:08 | 70665/inf     0    6    9    28507  | e0   2     121   285   | 10.8  | 0    8   
11:51:40 | 86593/inf     0    6    9    28448  | e0   2     124   266   | 11.1  | 0    8   
11:52:12 | 102434/inf    0    6    54   28988  | e0   2     134   255   | 14.6  | 0    9   
11:52:43 | 118396/inf    0    6    40   28948  | e0   2     134   276   | 12    | 0    9   
11:53:15 | 134224/inf    0    6    8    28856  | e0   2     132   259   | 10.4  | 0    8   
11:53:47 | 150182/inf    0    6    8    28800  | e0   2     134   285   | 9.4   | 0    8   
11:54:19 | 166107/inf    0    6    46   29051  | e0   2     130   262   | 19.7  | 0    9   
11:54:51 | 167528/inf    0    6    90   14997  | e0   2     129   261   | 12.3  | 0    9   
11:55:22 | 167552/inf    0    10   11   20     | e0   2     112   253   | 8.3   | 0    17  
11:55:54 | 167581/inf    0    10   12   47     | e0   2     107   248   | 5.7   | 0    17  
11:56:26 | 167581/inf    0    11   12   24     | e0   3     123   277   | 4.8   | 0    6   
11:56:58 | 167581/inf    0    nan  nan  0      | e0   3     122   277   | 3.6   | 0    6   
11:57:30 | 167581/inf    0    nan  nan  0      | e0   2     124   250   | 3.6   | 0    1   
11:58:01 | 167581/inf    0    nan  nan  0      | e0   2     130   251   | 3.3   | 0    0   
11:58:33 | 167581/inf    0    nan  nan  0      | e0   3     123   258   | 3.4   | 0    0   
11:59:05 | 167581/inf    0    nan  nan  0      | e0   2     119   280   | 2.9   | 0    0   
11:59:37 | 167581/inf    0    nan  nan  0      | e0   2     119   275   | 3.4   | 0    0   
12:00:08 | 0/inf         0    nan  nan  0      | e0   2     118   258   | 3     | 0    0   
12:00:40 | 0/inf         0    nan  nan  0      | e0   2     100   224   | 3     | 0    0   

